transaction_id,amount,contract_duration,department,bidding_process,num_bidders,winning_bid_ratio,supplier,previous_contracts,officer_id,officer_tenure,is_fraud
TX-00000,54034.14,6,health,restricted,6,0.5,Vendor-40,1,OFF-2622,3.8,0.0
TX-00001,32512.78,36,health,restricted,1,0.5,Vendor-28,4,OFF-3369,2.2,0.0
TX-00002,60970.83,24,education,open,2,0.5,Vendor-30,0,OFF-7050,0.7,0.0
TX-00003,122813.7,24,education,open,1,0.5,Vendor-40,2,OFF-1219,0.2,0.0
TX-00004,30111.95,12,education,restricted,1,0.5,Vendor-100,0,OFF-1224,5.7,0.0
TX-00005,30112.34,6,health,open,3,0.5,Vendor-76,2,OFF-9907,1.7,0.0
TX-00006,128459.67,6,health,open,3,0.5,Vendor-82,2,OFF-5201,8.3,0.0
TX-00007,67100.57,24,education,restricted,5,0.5,Vendor-11,1,OFF-4542,0.6,0.0
TX-00008,24944.8,12,health,direct,6,0.5,Vendor-126,2,OFF-7014,0.4,0.0
TX-00009,56052.72,6,health,open,2,0.5,Vendor-14,3,OFF-1097,2.2,0.0
TX-00010,25065.96,12,education,open,4,0.5,Vendor-157,3,OFF-3521,2.0,0.0
TX-00011,25019.64,12,health,open,2,0.5,Vendor-29,2,OFF-3875,2.7,0.0
TX-00012,44071.55,12,defense,open,1,0.5,Vendor-197,1,OFF-6949,5.4,0.0
TX-00013,7858.69,12,health,restricted,5,0.5702245606959064,Vendor-63,2,OFF-8885,1.3,0.0
TX-00014,9136.8,12,health,open,6,0.5,Vendor-62,0,OFF-8919,0.7,0.0
TX-00015,23159.72,24,health,open,7,0.977845650450928,Vendor-161,5,OFF-4775,7.2,0.0
TX-00016,16150.97,6,education,direct,5,0.5,Vendor-49,3,OFF-8521,2.0,0.0
TX-00017,46695.26,12,education,open,2,0.65,Vendor-188,2,OFF-1255,1.9,1.0
TX-00018,17563.55,12,education,open,2,0.5,Vendor-68,1,OFF-5725,2.6,0.0
TX-00019,11732.96,36,health,open,4,0.5,Vendor-160,4,OFF-9001,1.0,0.0
TX-00020,117303.4,12,health,restricted,5,0.5,Vendor-8,3,OFF-9455,0.3,0.0
TX-00021,30314.43,12,health,restricted,5,0.5,Vendor-58,2,OFF-2421,1.0,0.0
TX-00022,38331.32,12,infrastructure,open,2,0.5,Vendor-121,0,OFF-2524,2.2,0.0
TX-00023,11616.73,12,health,open,4,0.5,Vendor-113,1,OFF-1356,1.6,1.0
TX-00024,23493.85,36,education,direct,2,0.5,Vendor-14,4,OFF-4349,1.1,0.0
TX-00025,39685.38,24,defense,open,3,0.5,Vendor-98,3,OFF-3520,0.2,0.0
TX-00026,14460.92,12,health,open,1,0.65,Vendor-152,5,OFF-2974,1.1,1.0
TX-00027,49048.18,12,education,open,6,0.9546327755953254,Vendor-4,2,OFF-4213,3.8,0.0
TX-00028,22459.95,6,health,open,6,0.5,Vendor-175,0,OFF-1985,0.3,0.0
TX-00029,28757.24,12,health,open,4,0.5,Vendor-155,2,OFF-3736,4.9,0.0
TX-00030,22440.77,24,health,direct,6,0.5,Vendor-9,2,OFF-4076,0.7,0.0
TX-00031,159823.05,12,defense,open,2,0.5,Vendor-71,3,OFF-1897,0.1,0.0
TX-00032,35925.49,6,health,restricted,5,0.9675895431433115,Vendor-30,1,OFF-5925,2.0,0.0
TX-00033,15581.37,36,health,restricted,8,0.65,Vendor-119,6,OFF-9043,2.7,1.0
TX-00034,70125.09,12,health,open,3,0.9776336958716803,Vendor-49,4,OFF-7094,0.4,0.0
TX-00035,13675.01,12,health,direct,3,0.9720852271666595,Vendor-178,2,OFF-4515,4.3,0.0
TX-00036,42919.9,6,defense,open,5,0.5,Vendor-147,1,OFF-2588,2.8,0.0
TX-00037,7572.39,12,health,open,3,0.65,Vendor-174,4,OFF-3471,0.4,1.0
TX-00038,12549.69,24,defense,open,6,0.5,Vendor-11,3,OFF-5735,4.3,0.0
TX-00039,42509.76,12,defense,open,5,0.5,Vendor-123,3,OFF-9392,1.4,0.0
TX-00040,65563.42,12,defense,open,3,0.5,Vendor-97,3,OFF-7412,0.1,0.0
TX-00041,41651.58,6,health,open,4,0.5145701336291282,Vendor-19,2,OFF-8687,0.6,0.0
TX-00042,33106.38,12,health,open,6,0.5,Vendor-28,3,OFF-5509,2.7,0.0
TX-00043,28541.57,36,education,open,3,0.5,Vendor-196,0,OFF-9506,0.5,0.0
TX-00044,11127.58,12,health,restricted,6,0.5,Vendor-190,0,OFF-3773,0.9,0.0
TX-00045,20417.03,36,education,restricted,4,0.5,Vendor-109,3,OFF-4058,3.0,0.0
TX-00046,25121.74,36,health,open,3,0.5,Vendor-101,1,OFF-7955,0.9,0.0
TX-00047,84600.7,36,infrastructure,restricted,4,0.9235065486292507,Vendor-193,2,OFF-3096,1.5,0.0
TX-00048,47805.44,24,health,open,3,0.5,Vendor-152,3,OFF-4886,1.1,0.0
TX-00049,8862.36,6,health,open,2,0.5,Vendor-165,1,OFF-8311,8.4,0.0
TX-00050,47064.17,36,education,open,3,0.5,Vendor-59,1,OFF-3936,2.1,0.0
TX-00051,26687.06,6,health,restricted,4,0.5,Vendor-7,0,OFF-7739,1.0,0.0
TX-00052,21130.28,6,health,restricted,5,0.5,Vendor-84,2,OFF-7732,1.8,0.0
TX-00053,59239.33,6,health,open,1,0.5,Vendor-52,7,OFF-5953,9.6,1.0
TX-00054,82851.04,12,health,open,1,0.5,Vendor-27,0,OFF-3697,2.8,0.0
TX-00055,76498.32,12,health,open,3,0.5,Vendor-15,2,OFF-2797,3.6,0.0
TX-00056,18557.44,12,health,restricted,3,0.5,Vendor-189,1,OFF-4930,0.3,0.0
TX-00057,28357.03,6,health,direct,3,0.5,Vendor-59,1,OFF-4797,2.2,0.0
TX-00058,47335.26,12,health,open,3,0.5,Vendor-4,2,OFF-8481,1.3,1.0
TX-00059,79255.82,12,health,open,1,0.9872500526357251,Vendor-165,1,OFF-4124,2.9,0.0
TX-00060,24751.98,24,education,open,7,0.5,Vendor-143,3,OFF-1397,2.4,0.0
TX-00061,31303.11,6,health,direct,6,0.5,Vendor-152,2,OFF-5531,7.1,0.0
TX-00062,14986.9,6,health,direct,4,0.5,Vendor-57,2,OFF-7871,0.4,0.0
TX-00063,13947.21,6,defense,direct,4,0.5,Vendor-167,1,OFF-8144,0.0,0.0
TX-00064,69565.27,12,education,open,2,0.5,Vendor-111,1,OFF-4730,2.6,0.0
TX-00065,107472.69,12,health,open,3,0.5663319495953624,Vendor-176,5,OFF-7707,11.2,1.0
TX-00066,34282.55,12,infrastructure,restricted,3,0.5,Vendor-113,4,OFF-6564,0.2,0.0
TX-00067,81050.39,12,education,restricted,3,0.5,Vendor-7,1,OFF-2906,0.3,0.0
TX-00068,48499.5,12,health,open,2,0.5,Vendor-164,1,OFF-3712,3.6,0.0
TX-00069,21674.77,12,infrastructure,restricted,3,0.5,Vendor-24,1,OFF-4497,5.3,0.0
TX-00070,48490.18,36,health,direct,8,0.5,Vendor-146,4,OFF-4745,1.0,0.0
TX-00071,124297.01,6,infrastructure,restricted,4,0.5,Vendor-130,2,OFF-1152,0.7,0.0
TX-00072,35289.44,24,health,restricted,2,0.5,Vendor-159,1,OFF-2251,7.1,0.0
TX-00073,126971.12,24,health,open,1,0.5,Vendor-54,0,OFF-5281,2.7,0.0
TX-00074,4465.8,6,education,restricted,2,0.5,Vendor-9,3,OFF-5992,4.2,0.0
TX-00075,70089.06,36,health,open,2,0.5,Vendor-167,4,OFF-6420,0.0,1.0
TX-00076,38934.56,24,health,open,5,0.9260196021099655,Vendor-199,1,OFF-9233,1.5,0.0
TX-00077,28589.48,12,education,open,5,0.964210329031755,Vendor-164,3,OFF-3440,0.8,0.0
