transaction_id,amount,contract_duration,department,bidding_process,num_bidders,winning_bid_ratio,supplier,previous_contracts,officer_id,officer_tenure,is_fraud
TX-000000,119683.96949346183,12,health,open,2,0.5,Vendor-8,0,OFF-4656,4.664406751065347,0
TX-000001,74723.23651077937,24,health,direct,4,0.5,Vendor-214,2,OFF-4319,2.4695408502671343,0
TX-000002,69114.17921854768,6,health,open,5,0.5,Vendor-175,2,OFF-9405,1.1858748674619344,0
TX-000003,69115.11471659003,12,education,open,6,0.5,Vendor-133,2,OFF-8866,0.3781900515471198,0
TX-000004,232485.72061153254,24,education,open,2,0.5,Vendor-66,2,OFF-3363,2.4906049095492246,0
TX-000005,143335.31154821112,6,health,open,3,0.5468156436133073,Vendor-76,3,OFF-5227,0.8162552102272562,0
TX-000006,56553.90008704495,36,education,restricted,4,0.5,Vendor-285,1,OFF-1552,6.469207057152112,0
TX-000007,123490.72367156067,6,defense,open,2,0.9192274299889628,Vendor-137,3,OFF-3349,4.064797992132393,0
TX-000008,99948.01320323235,6,health,open,5,0.5,Vendor-123,3,OFF-4074,5.762375979672218,0
TX-000009,10795.74717452927,24,education,open,6,0.5,Vendor-256,2,OFF-4182,0.2500227081427948,0
TX-000010,33562.114134385316,12,education,direct,5,0.5,Vendor-204,2,OFF-6082,3.6754098689143744,0
TX-000011,105308.28186740816,12,health,restricted,5,0.5,Vendor-78,1,OFF-1444,0.596504050825142,0
TX-000012,218258.84337417642,12,health,open,5,0.5,Vendor-197,0,OFF-6838,12.422226243634109,0
TX-000013,69592.6092479573,12,health,direct,9,0.5,Vendor-42,3,OFF-2153,2.748656195469182,0
TX-000014,52901.371952715184,3,defense,restricted,5,0.5103523949755789,Vendor-280,2,OFF-8284,0.1,0
TX-000015,90700.37707360828,6,health,open,7,0.5,Vendor-264,0,OFF-4979,10.507512794503551,1
TX-000016,50264.22403590488,12,health,open,5,0.5,Vendor-120,0,OFF-9571,1.2824962039878103,0
TX-000017,65887.06905695943,6,education,direct,1,0.5,Vendor-135,4,OFF-6175,1.4520720795135935,0
TX-000018,82465.12394701323,12,defense,open,4,0.5,Vendor-136,0,OFF-2932,1.8204949661067564,1
TX-000019,32006.865242194177,36,health,open,5,0.5,Vendor-53,2,OFF-1775,1.3113474111107628,0
TX-000020,148503.00471065697,3,health,open,8,0.5,Vendor-215,5,OFF-6294,4.304597858925568,0
TX-000021,26759.072313952005,24,defense,open,4,0.5,Vendor-266,1,OFF-1074,3.949663028590127,0
TX-000022,23639.67219173367,6,education,open,3,0.5,Vendor-241,2,OFF-8025,5.3238642485066014,0
TX-000023,96697.52089440674,24,education,open,5,0.5426963876610971,Vendor-282,3,OFF-7119,11.208370090665792,0
TX-000024,140667.69039895252,24,education,open,4,0.5,Vendor-212,4,OFF-7262,5.884809201406012,0
TX-000025,94891.77871785352,12,health,open,4,0.5,Vendor-154,4,OFF-1962,2.679937937718851,0
TX-000026,76088.95885423003,12,education,open,4,0.5,Vendor-144,3,OFF-3089,2.381990372299655,0
TX-000027,65369.071749173716,12,health,restricted,3,0.5,Vendor-219,1,OFF-7653,6.141004835875712,0
TX-000028,56995.49153433252,24,defense,restricted,2,0.5,Vendor-152,1,OFF-5477,1.7904412903130837,0
TX-000029,171889.96502597246,6,health,open,8,0.5,Vendor-244,1,OFF-4135,4.461373972214693,0
TX-000030,106052.1969694961,6,education,open,7,0.5,Vendor-73,1,OFF-8596,6.515267668923978,0
TX-000031,60865.940682932705,12,defense,open,3,0.5,Vendor-24,3,OFF-9248,1.3507837138772616,0
TX-000032,46830.32646557786,24,health,restricted,5,0.5,Vendor-275,3,OFF-6976,0.863416784976889,0
TX-000033,129380.94783539369,6,education,open,1,0.625,Vendor-241,3,OFF-3686,0.9948546145344486,1
TX-000034,169172.08367011088,12,health,direct,3,0.5,Vendor-177,4,OFF-3837,1.0083396834418998,1
TX-000035,159060.48909014443,6,health,restricted,6,0.5,Vendor-121,5,OFF-2879,0.1799997047084379,0
TX-000036,40052.35241056735,24,education,open,5,0.5,Vendor-264,1,OFF-6497,20.0,0
TX-000037,64924.890064381216,6,infrastructure,open,2,0.5,Vendor-186,3,OFF-4333,10.158051227441726,0
TX-000038,56071.74837600493,36,defense,open,7,0.5,Vendor-39,4,OFF-8850,0.7261310878789176,0
TX-000039,71914.40578929943,3,health,open,4,0.6790242777080021,Vendor-20,1,OFF-7670,4.092514568382986,0
TX-000040,147554.4261681628,6,education,open,7,0.5,Vendor-28,1,OFF-7387,0.3655863473710687,0
TX-000041,205113.1228603605,12,health,open,4,0.5,Vendor-262,2,OFF-3277,9.517954902422227,0
TX-000042,108924.35701542493,6,health,open,3,0.5,Vendor-51,3,OFF-5578,0.9355787056620766,0
